Correct/IndistMachines	FSMtype	States	Inputs	Outputs	ES	Resets	Symbols	seconds	AlgorithmType	Algorithm	AlgId	fileName
0	4	10	2	2	0	0	0	0.000000	TS	PDS-method	0	DFA_R10.fsm
0	4	10	2	2	0	0	0	0.000000	TS	ADS-method	1	DFA_R10.fsm
0	4	10	2	2	0	30	384	0.000500	TS	SVS-method	2	DFA_R10.fsm
0	4	10	2	2	0	33	378	0.000999	TS	W-method	3	DFA_R10.fsm
0	4	10	2	2	0	20	206	0.001000	TS	Wp-method	4	DFA_R10.fsm
0	4	10	2	2	0	20	204	0.000500	TS	HSI-method	5	DFA_R10.fsm
0	4	10	2	2	0	17	205	0.001002	TS	H-method	6	DFA_R10.fsm
0	4	10	2	2	0	16	204	0.001115	TS	SPY-method	7	DFA_R10.fsm
0	4	10	2	2	0	15	185	0.000000	TS	SPYH-method	8	DFA_R10.fsm
0	4	10	2	2	0	12	186	0.001003	TS	S-method	9	DFA_R10.fsm
0	4	10	2	2	0	0	0	0.000000	TS	Mra-method	10	DFA_R10.fsm
0	4	10	2	2	0	0	0	0.000000	TS	Mrg-method	11	DFA_R10.fsm
0	4	10	2	2	1	0	0	0.000000	TS	PDS-method	0	DFA_R10.fsm
0	4	10	2	2	1	0	0	0.000000	TS	ADS-method	1	DFA_R10.fsm
0	4	10	2	2	1	60	894	0.001002	TS	SVS-method	2	DFA_R10.fsm
0	4	10	2	2	1	66	888	0.000501	TS	W-method	3	DFA_R10.fsm
0	4	10	2	2	1	40	492	0.000000	TS	Wp-method	4	DFA_R10.fsm
0	4	10	2	2	1	41	508	0.000000	TS	HSI-method	5	DFA_R10.fsm
0	4	10	2	2	1	32	446	0.000000	TS	H-method	6	DFA_R10.fsm
0	4	10	2	2	1	24	406	0.000501	TS	SPY-method	7	DFA_R10.fsm
0	4	10	2	2	1	33	485	0.000500	TS	SPYH-method	8	DFA_R10.fsm
0	4	10	2	2	1	15	369	0.002006	TS	S-method	9	DFA_R10.fsm
0	4	10	2	2	1	0	0	0.000000	TS	Mra-method	10	DFA_R10.fsm
0	4	10	2	2	1	0	0	0.000496	TS	Mrg-method	11	DFA_R10.fsm
0	4	10	2	2	2	0	0	0.000000	TS	PDS-method	0	DFA_R10.fsm
0	4	10	2	2	2	0	0	0.000000	TS	ADS-method	1	DFA_R10.fsm
0	4	10	2	2	2	119	2005	0.001502	TS	SVS-method	2	DFA_R10.fsm
0	4	10	2	2	2	132	2040	0.000997	TS	W-method	3	DFA_R10.fsm
0	4	10	2	2	2	79	1144	0.001000	TS	Wp-method	4	DFA_R10.fsm
0	4	10	2	2	2	81	1170	0.001001	TS	HSI-method	5	DFA_R10.fsm
0	4	10	2	2	2	59	975	0.000502	TS	H-method	6	DFA_R10.fsm
0	4	10	2	2	2	44	886	0.000999	TS	SPY-method	7	DFA_R10.fsm
0	4	10	2	2	2	53	1017	0.001002	TS	SPYH-method	8	DFA_R10.fsm
0	4	10	2	2	2	26	826	0.003000	TS	S-method	9	DFA_R10.fsm
0	4	10	2	2	2	0	0	0.000000	TS	Mra-method	10	DFA_R10.fsm
0	4	10	2	2	2	0	0	0.000000	TS	Mrg-method	11	DFA_R10.fsm
0	4	100	2	2	0	0	0	0.000501	TS	PDS-method	0	DFA_R100.fsm
0	4	100	2	2	0	0	0	0.000000	TS	ADS-method	1	DFA_R100.fsm
0	4	100	2	2	0	1278	31580	0.090559	TS	SVS-method	2	DFA_R100.fsm
0	4	100	2	2	0	606	13140	0.057036	TS	W-method	3	DFA_R100.fsm
0	4	100	2	2	0	381	7650	0.048531	TS	Wp-method	4	DFA_R100.fsm
0	4	100	2	2	0	364	7326	0.009007	TS	HSI-method	5	DFA_R100.fsm
0	4	100	2	2	0	309	6673	0.006003	TS	H-method	6	DFA_R100.fsm
0	4	100	2	2	0	258	6686	0.015010	TS	SPY-method	7	DFA_R100.fsm
0	4	100	2	2	0	210	4882	0.014510	TS	SPYH-method	8	DFA_R100.fsm
0	4	100	2	2	0	107	3769	0.086056	TS	S-method	9	DFA_R100.fsm
0	4	100	2	2	0	0	0	0.000000	TS	Mra-method	10	DFA_R100.fsm
0	4	100	2	2	0	0	0	0.000500	TS	Mrg-method	11	DFA_R100.fsm
0	4	100	2	2	1	0	0	0.000000	TS	PDS-method	0	DFA_R100.fsm
0	4	100	2	2	1	0	0	0.000000	TS	ADS-method	1	DFA_R100.fsm
0	4	100	2	2	1	2545	67981	0.152100	TS	SVS-method	2	DFA_R100.fsm
0	4	100	2	2	1	1212	28704	0.067545	TS	W-method	3	DFA_R100.fsm
0	4	100	2	2	1	763	16812	0.052034	TS	Wp-method	4	DFA_R100.fsm
0	4	100	2	2	1	728	16032	0.013509	TS	HSI-method	5	DFA_R100.fsm
0	4	100	2	2	1	528	12656	0.009007	TS	H-method	6	DFA_R100.fsm
0	4	100	2	2	1	463	12701	0.014510	TS	SPY-method	7	DFA_R100.fsm
